#{"t_start": 1589749273.234755, "env_id": "ct_rk_cartpole_swingupsafe_dm-v1"}
r,l,t
639.572089,2001,698.119855
578.674971,2001,700.365146
706.629721,2001,703.099135
640.915235,2001,705.166385
637.816145,2001,707.204121
676.514069,2001,711.436807
552.031245,2001,714.001612
754.14689,2001,716.073383
619.564128,2001,718.10758
600.25251,2001,720.181531
697.653333,2001,724.790011
718.317163,2001,726.88814
731.23483,2001,728.929975
718.961341,2001,731.341514
705.239959,2001,733.822756
619.346175,2001,737.969012
613.897897,2001,740.046946
760.53962,2001,742.114239
702.105762,2001,744.588876
719.843993,2001,746.682291
634.625236,2001,750.811625
648.553537,2001,752.893962
709.453373,2001,755.410205
708.508681,2001,757.507582
606.703779,2001,759.550162
626.67392,2001,764.015567
648.764617,2001,766.524823
695.015194,2001,768.624967
758.305942,2001,770.664593
638.431928,2001,772.726075
699.323477,2001,777.384951
713.114695,2001,779.539766
704.403521,2001,781.584727
747.47171,2001,783.645499
708.929201,2001,786.195344
703.72788,2001,790.357132
736.0779,2001,792.606239
667.75849,2001,794.769777
649.657002,2001,797.207837
728.350122,2001,799.374349
680.773561,2001,803.521133
661.310231,2001,805.584778
656.394192,2001,807.618336
644.948617,2001,810.156296
593.689019,2001,812.188419
636.074008,2001,816.334862
651.424529,2001,818.402028
700.442745,2001,820.952149
605.727152,2001,823.295917
546.874232,2001,825.415436
654.336073,2001,829.55529
676.218679,2001,832.078823
706.94907,2001,834.108907
604.284033,2001,836.169177
613.778995,2001,838.20511
657.572993,2001,842.806421
602.231814,2001,844.941998
761.206098,2001,846.973578
745.360773,2001,849.01449
685.677314,2001,851.516682
616.354594,2001,855.934707
687.36594,2001,858.015633
638.763693,2001,860.115069
702.777175,2001,862.58621
671.211183,2001,864.655197
728.422541,2001,868.782683
831.497636,2001,870.868219
774.201013,2001,873.349078
693.766182,2001,875.450044
632.295746,2001,877.476953
668.294142,2001,881.60146
731.235503,2001,884.193404
723.868192,2001,886.515169
671.063975,2001,888.559054
689.098697,2001,890.588266
834.304176,2001,895.190305
746.225889,2001,897.274633
705.24711,2001,899.303302
653.941432,2001,901.366759
680.314189,2001,903.816553
594.433735,2001,908.009342
697.940095,2001,910.067789
694.109412,2001,912.130355
701.107413,2001,914.762188
729.153356,2001,917.002563
654.668658,2001,921.116185
782.020646,2001,923.197202
655.530962,2001,925.239976
724.480632,2001,927.813096
650.357056,2001,929.848632
628.120454,2001,933.970653
674.790035,2001,936.054304
717.633773,2001,938.607359
717.070502,2001,940.655591
675.97968,2001,942.727663
655.667919,2001,947.1336
621.065992,2001,949.687071
695.106485,2001,951.726655
650.728356,2001,953.79102
670.036511,2001,955.827887
637.724913,2001,960.452017
709.822717,2001,962.513536
687.325537,2001,964.590308
686.17407,2001,966.639523
729.343124,2001,969.150486
598.941013,2001,973.330443
773.847841,2001,975.578129
722.52025,2001,977.722548
724.264757,2001,980.220523
633.058956,2001,982.29182
673.587559,2001,986.423287
705.630276,2001,988.506967
730.133611,2001,990.994347
680.954201,2001,993.049502
652.153612,2001,995.13891
667.917191,2001,999.282382
599.997058,2001,1001.787069
770.346386,2001,1003.877198
730.578743,2001,1006.157855
748.500012,2001,1008.250687
693.412038,2001,1012.82207
676.64451,2001,1014.949342
652.691214,2001,1016.991031
775.097659,2001,1019.133107
692.634204,2001,1021.613438
687.801782,2001,1025.814093
619.235658,2001,1027.879495
720.245125,2001,1029.930067
624.290202,2001,1031.960086
800.040403,2001,1034.474825
747.995725,2001,1038.949608
902.609417,2001,1041.059688
700.533107,2001,1043.097201
825.132511,2001,1045.628078
710.115412,2001,1047.674438
708.869811,2001,1051.819441
778.851595,2001,1053.887885
709.732942,2001,1056.474428
801.455542,2001,1058.511747
744.506426,2001,1060.572551
797.711144,2001,1064.678077
751.554248,2001,1067.534129
723.015456,2001,1069.571801
832.249179,2001,1071.744203
759.065922,2001,1073.76685
732.426459,2001,1078.458735
712.452996,2001,1080.527246
710.274677,2001,1082.59076
789.689215,2001,1084.644718
674.443043,2001,1087.176687
733.836707,2001,1091.343439
745.386072,2001,1093.408725
759.9996,2001,1095.433717
836.022125,2001,1098.140612
839.8828,2001,1100.346525
709.174487,2001,1104.481652
753.758238,2001,1106.57036
780.660662,2001,1109.048009
744.82411,2001,1111.112023
754.464808,2001,1113.164805
758.991359,2001,1117.355254
750.390849,2001,1119.868864
767.159869,2001,1121.973671
824.594229,2001,1124.019445
766.412773,2001,1126.052861
757.1357,2001,1130.908626
784.114711,2001,1133.01533
810.306352,2001,1135.060805
686.281851,2001,1137.086746
815.93986,2001,1139.548064
772.341201,2001,1143.758237
707.697298,2001,1145.841916
709.60811,2001,1147.906716
800.08986,2001,1149.955611
842.606863,2001,1152.465142
764.859283,2001,1156.610232
764.324791,2001,1158.925294
735.653392,2001,1161.056944
750.312232,2001,1163.584337
847.990278,2001,1165.601993
750.888692,2001,1169.765978
744.865715,2001,1171.811984
735.050437,2001,1174.370106
733.614157,2001,1176.426748
834.761975,2001,1178.496509
766.515045,2001,1182.603461
733.184875,2001,1185.141203
771.32479,2001,1187.182349
833.659415,2001,1189.60041
793.033951,2001,1191.635977
773.034829,2001,1196.25336
772.116875,2001,1198.320815
787.263234,2001,1200.37983
796.91243,2001,1202.407966
744.960424,2001,1204.95038
819.861356,2001,1209.092536
772.556338,2001,1211.173059
784.785037,2001,1213.209361
745.223614,2001,1215.833925
861.345008,2001,1217.914254
789.996688,2001,1222.352467
823.550782,2001,1224.401049
780.442545,2001,1226.909214
823.803732,2001,1228.968741
828.317489,2001,1231.024911
812.376549,2001,1235.149085
729.016051,2001,1237.663625
821.329325,2001,1239.739045
790.350418,2001,1241.801061
782.822783,2001,1243.83699
762.354969,2001,1248.36933
789.227922,2001,1250.762503
726.594987,2001,1252.82066
816.169251,2001,1254.857687
760.544395,2001,1257.376458
776.139788,2001,1261.603462
880.194302,2001,1263.650177
775.476304,2001,1265.698903
798.277197,2001,1267.762941
830.367182,2001,1270.308113
796.777352,2001,1274.444445
722.441502,2001,1276.5045
778.632533,2001,1278.551315
850.837367,2001,1281.352229
805.465594,2001,1283.411277
741.942502,2001,1287.540528
740.068579,2001,1289.60227
760.055686,2001,1292.160109
796.723684,2001,1294.202124
833.579612,2001,1296.256317
749.561402,2001,1300.396411
708.39063,2001,1302.928576
872.393269,2001,1304.980919
885.62072,2001,1307.014114
738.759965,2001,1309.082972
782.320167,2001,1313.996345
784.234366,2001,1316.048753
829.073347,2001,1318.104257
883.67517,2001,1320.152078
791.473957,2001,1322.64223
781.158832,2001,1326.816177
781.703468,2001,1328.901747
803.809642,2001,1330.937843
749.458433,2001,1333.447253
921.882752,2001,1335.506535
807.925313,2001,1339.624093
748.493451,2001,1341.992852
845.175841,2001,1344.490912
857.9606,2001,1346.552937
801.691356,2001,1348.617864
788.788579,2001,1352.748331
870.512444,2001,1355.315952
819.921381,2001,1357.380089
769.56592,2001,1359.49128
769.973323,2001,1361.532389
779.518714,2001,1366.109663
842.447144,2001,1368.22133
868.537509,2001,1370.286954
815.390361,2001,1372.617136
799.309051,2001,1374.708921
793.708488,2001,1379.415326
889.397076,2001,1381.477879
930.705012,2001,1383.501796
817.408612,2001,1385.576583
743.120685,2001,1388.095478
759.462901,2001,1392.257787
825.227653,2001,1394.322494
973.348795,2001,1396.383917
819.44759,2001,1398.90067
748.165358,2001,1401.01261
804.987914,2001,1405.634816
914.355478,2001,1407.692185
845.930134,2001,1410.227733
827.358106,2001,1412.260739
811.650519,2001,1414.308206
819.897136,2001,1418.465637
917.984845,2001,1420.991179
802.837637,2001,1423.061863
788.595367,2001,1425.097452
985.729258,2001,1427.159877
927.406384,2001,1431.761397
869.666143,2001,1434.119635
905.868281,2001,1436.169407
866.286797,2001,1438.203148
846.797644,2001,1440.674595
766.427427,2001,1444.846956
837.463648,2001,1446.929189
813.580493,2001,1448.973359
947.117936,2001,1451.490522
793.823341,2001,1453.547461
1016.446219,2001,1457.681197
885.554325,2001,1459.742253
946.839455,2001,1462.350331
982.627,2001,1464.621646
836.465107,2001,1466.674039
988.517569,2001,1470.784573
887.871146,2001,1473.351022
996.906756,2001,1475.435408
814.748865,2001,1477.490508
874.279415,2001,1479.532384
814.396767,2001,1484.082881
893.222287,2001,1486.192982
939.518004,2001,1488.253368
834.840434,2001,1490.291673
878.198099,2001,1492.35086
944.724794,2001,1497.302136
861.589659,2001,1499.380655
769.989565,2001,1501.421801
951.913544,2001,1503.494782
939.11839,2001,1506.025654
886.623033,2001,1510.195908
921.610607,2001,1512.255879
857.876778,2001,1514.315147
981.627122,2001,1516.82138
955.548924,2001,1518.879201
953.341154,2001,1523.039332
898.976384,2001,1525.354059
1020.816025,2001,1527.883801
821.199649,2001,1529.952085
967.378434,2001,1531.983662
